# name	foreign_files	total_files	top_upstream_owners -- from scripts/audit-deb-contents.py over the full pool, 2026-08-28
file	6	8	libmagic
byacc	6	9	bvi
findomain-static	6	6	imagemagick-static
libpinyin-static	6	8	libpipeline-static,libpsl-static,libpngwriter-static
aalib	5	83	8086tiny,dash
colm-static	5	10	coinor-cbc-static
crowbook	5	6	crunch,llvm,dash
libiodbc	5	22	unixodbc
libpluto	5	11	libpngwriter
libspice-server-static	5	7	libspatialite-static,libt3highlight,libt3key
alembic	4	137	alass,algernon,dash
arturo	4	125	ascii,asciidoc,dash
vulkan-loader-android	4	4	vulkan-loader-generic,dash
openldap-static	4	8	colm-static
coinor-cbc	4	95	codecrypt,cointop,dash
cvs	4	32	d8,dash
cc65	4	481	ccache,cavif,dash
btfs2-static	4	4	e2fsprogs
biboumi	4	11	bear
bastet	4	8	base16384,dash
boinc	4	140	bombadillo,dash,blueprint-compiler
forgejo-static	4	5	faust-static
libsophia	4	7	libslirp
libnfc	4	51	libpopt
libtorrent-rasterbar-static	4	4	libtorrent-static,libtpms-static
abootimg	3	6	abook
atuin-static	3	3	audiofile-static,aubio-static
abook	3	6	abduco,dash
amber	3	5	amfora,dash
cargo-leptos-static	3	3	cfengine-static,gpac-static
ruby-static	3	4	aspell-static
bcal	3	6	bc-gh
bmon	3	34	pygobject,dash
barcode	3	7	atuin
libosmium	3	199	libopusenc
libsoup3-static	3	3	libsoundtouch-static
antibody	2	3	artalk
adms	2	16	ack-grep,dash
alpine	2	13	agg,dash
gpac	2	333	llvm,dash
0verkill	2	280	6tunnel
mercury-static	2	25	gauche-static,llbuild
cicada	2	3	ciso,dash
7zip-static	2	2	aalib-static
bison	2	35	byacc
bvi	2	9	dash,byacc
fakeroot	2	8	fasd,dash
file-static	2	2	libmagic-static
slang-static	2	2	libnftnl-static
libolm-static	2	2	libwpg-static
libpsl-static	2	4	libpinyin-static
libtiledb-static	2	3	libtomcrypt-static,libtommath-static
libnl-static	2	14	libnftnl-static
libopencc-static	2	2	libodfgen-static
libseccomp-static	2	4	libsass-static
libnl-cli	2	76	dash,slang
libretls-static	2	4	librasqal-static
libt3key-static	2	4	libspatialite-static
libnats-c-static	2	3	libnet-static
libosmium-static	2	2	libopusenc-static
libprotobuf-c-static	2	4	libneon-static
apkeep-static	1	1	argon2-static
axel	1	3	dash
